# WaniKani - Kanji
# Generated on March 23, 2017 23:00 PM UTC
# WaniKani to Anki Exporter (http://wanikanitoanki.com)
#key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
k_久;kanji;久;long time;;きゅう, く;ひさ;kunyomi;;3
k_初;kanji;初;first;;しょ;はじ, はつ, そ, ぞ;onyomi;;11
k_赤;kanji;赤;red;;せき;あか;kunyomi;;4
k_恋;kanji;恋;romance;;れん;こい;onyomi;;17
k_必;kanji;必;certain;;ひつ;かなら.ず;onyomi;;7
k_家;kanji;家;house, home;;か, け;いえ, や, うち;onyomi;;7
k_対;kanji;対;versus;;たい;;onyomi;;8
k_魚;kanji;魚;fish;;ぎょ;さかな;onyomi;;7
k_鳥;kanji;鳥;bird;;ちょう;とり;onyomi;;7
k_用;kanji;用;task, use;;よう;もち.いる;onyomi;;3
k_船;kanji;船;boat, ship;;せん;ふね;onyomi;;7
k_行;kanji;行;go;;こう, ぎょう;い.く, おこな.う, ゆ.く;onyomi;;5
k_黄;kanji;黄;yellow;;おう;き;kunyomi;;7
k_君;kanji;君;buddy;;くん;きみ;onyomi;;8
k_一;kanji;一;one;;いち;ひと.*;onyomi;;1
k_幻;kanji;幻;illusion;;げん;まぼろし;onyomi;;17
k_杯;kanji;杯;cup of liquid, counter for cups;;はい;None;onyomi;;29
k_布;kanji;布;cloth;;ふ;ぬの;onyomi;;19
k_面;kanji;面;surface, face;;めん;おも, おもて;onyomi;;16
k_買;kanji;買;buy;;ばい;か;kunyomi;;8
k_馬;kanji;馬;horse;;ば;うま;onyomi;;8
k_飛;kanji;飛;fly;;ひ;と;onyomi;;20
k_負;kanji;負;lose;;ふ;ま.ける, お.う;onyomi;;9
k_研;kanji;研;sharpen;;けん;と;onyomi;;8
k_島;kanji;島;island;;とう;しま;kunyomi;;12
k_楽;kanji;楽;comfort, ease, pleasure;;らく, がく;たの.しい;onyomi;;8
k_監;kanji;監;oversee;;かん;None;onyomi;;29
k_映;kanji;映;reflect, reflection;;えい;うつ, は;onyomi;;13
k_話;kanji;話;talk, speak;;わ;はな.す, はなし;onyomi;;8
k_由;kanji;由;reason;;ゆう;よし, よ.る;onyomi;;7
k_河;kanji;河;river;;か;かわ;onyomi;;26
k_歩;kanji;歩;walk;;ほ;ある.く, あゆ.む;onyomi;;6
k_所;kanji;所;place;;しょ;ところ;onyomi;;8
k_停;kanji;停;halt;;てい;None;onyomi;;23
k_酒;kanji;酒;alcohol;;しゅ;さけ, さか;onyomi;;10
k_尋;kanji;尋;inquire;;じん;たず.ねる, ひろ;onyomi;;31
k_又;kanji;又;again;;;また;kunyomi;;2
k_盗;kanji;盗;steal;;とう;ぬす.む;onyomi;;30
k_温;kanji;温;warm;;おん;あたた.*;onyomi;;12
k_深;kanji;深;deep;;しん;ふか.*;onyomi;;12
k_死;kanji;死;death;;し;し.ぬ;onyomi;;6
k_村;kanji;村;village;;そん;むら;kunyomi;;4
k_速;kanji;速;fast;;そく;はや.い;onyomi;;10
k_銀;kanji;銀;silver;;ぎん;;onyomi;;13
k_夕;kanji;夕;evening;;せき;ゆう;kunyomi;;2
k_羊;kanji;羊;sheep;;よう;ひつじ;onyomi;;6
k_広;kanji;広;wide;;こう;ひろ;kunyomi;;3
k_分;kanji;分;part, minute, separate, understand;;ぶん, ふん, ぶ;わ.かる, わ.ける;onyomi;;3
k_主;kanji;主;master;;しゅ;おも, ぬし;onyomi;;4
k_八;kanji;八;eight;;はち;や.*;onyomi;;1
k_途;kanji;途;route;;と;None;onyomi;;27
k_額;kanji;額;amount, framed picture, forehead;;がく;ひたい;onyomi;;24
k_見;kanji;見;see;;けん;み;kunyomi;;4
k_電;kanji;電;electricity;;でん;;onyomi;;8
k_高;kanji;高;tall, expensive, high;;こう;たか.い;onyomi;;7
k_月;kanji;月;moon, month;;げつ, がつ;つき;onyomi;;2
k_好;kanji;好;like;;こう;す.き, この.む;onyomi;;11
k_里;kanji;里;home village, home town, hometown;;り;さと;kunyomi;;5
k_前;kanji;前;front, before;;ぜん;まえ;onyomi;;6
k_接;kanji;接;adjoin;;せつ;つ.ぐ;onyomi;;26
k_尻;kanji;尻;butt;;;しり;kunyomi;;20
k_気;kanji;気;energy, spirit;;き, け;いき;onyomi;;4
k_長;kanji;長;long, leader;;ちょう;なが.い;onyomi;;6
k_物;kanji;物;thing;;ぶつ, もつ;もの;kunyomi;;9
k_星;kanji;星;star;;せい;ほし;kunyomi;;6
k_能;kanji;能;ability;;のう;None;onyomi;;14
k_新;kanji;新;new;;しん;あたら.しい, あら.た, にい;onyomi;;9
k_勝;kanji;勝;win;;しょう;か.つ;onyomi;;9
k_答;kanji;答;answer, response, reply;;とう;こた;kunyomi;;8
k_奇;kanji;奇;odd, strange;;き;None;onyomi;;28
k_予;kanji;予;beforehand;;よ;あらかじ;onyomi;;9
k_骨;kanji;骨;bone;;こつ;ほね;onyomi;;14
k_遠;kanji;遠;far;;えん;とお;kunyomi;;16
k_遊;kanji;遊;play;;ゆう;あそ;kunyomi;;30
k_具;kanji;具;tool;;ぐ;;onyomi;;9
k_送;kanji;送;send;;そう;おく.る;onyomi;;9
k_設;kanji;設;establish;;せつ;もう.ける;onyomi;;21
k_械;kanji;械;contraption;;かい;かせ;onyomi;;20
k_準;kanji;準;standard;;じゅん;None;onyomi;;23
k_麗;kanji;麗;lovely;;れい;うるわ.しい;onyomi;;28
k_築;kanji;築;construct, build;;ちく;きず.く;onyomi;;15
k_業;kanji;業;business;;ぎょう;;onyomi;;10
k_次;kanji;次;next;;じ;つぎ;onyomi;;6
k_館;kanji;館;public building;;かん;;onyomi;;13
k_談;kanji;談;discuss;;だん;;onyomi;;9
k_美;kanji;美;beauty, beautiful;;び, み;うつく.しい;onyomi;;9
k_囲;kanji;囲;surround;;い;かこ.む;onyomi;;14
k_表;kanji;表;express;;ひょう;あらわ.す, おもて;onyomi;;9
k_模;kanji;模;imitation;;も, ぼ;None;onyomi;;25
k_評;kanji;評;evaluate;;ひょう;None;onyomi;;21
k_院;kanji;院;institution;;いん;;onyomi;;10
k_飲;kanji;飲;drink;;いん;の;kunyomi;;10
k_未;kanji;未;not yet;;み;ま.だ, いま.だ, ひつじ;onyomi;;7
k_顔;kanji;顔;face;;がん;かお;kunyomi;;10
k_習;kanji;習;learn;;しゅう;なら.う;onyomi;;10
k_音;kanji;音;sound;;おん;おと, ね;onyomi;;5
k_聞;kanji;聞;hear;;ぶん, もん;き.く;onyomi;;10
k_写;kanji;写;copy;;しゃ;うつ.す, うつ.る;onyomi;;4
k_最;kanji;最;most;;さい;もっと;onyomi;;10
k_転;kanji;転;revolve;;てん;ころ.ぶ;onyomi;;10
k_了;kanji;了;finish, complete, end;;りょう;;onyomi;;2
k_保;kanji;保;preserve, guarantee;;ほ;たも.つ;onyomi;;16
k_望;kanji;望;hope;;ぼう;のぞ.む;onyomi;;14
k_拾;kanji;拾;pick up;;;ひろ;kunyomi;;11
k_虚;kanji;虚;void;;きょ, こ;むな.しい   ;onyomi;;17
k_児;kanji;児;child;;じ;こ;onyomi;;28
k_仲;kanji;仲;relationship;;ちゅう;なか;kunyomi;;11
k_努;kanji;努;toil;;ど;つと.める;onyomi;;11
k_訓;kanji;訓;instruction;;くん;よ.む;onyomi;;18
k_退;kanji;退;retreat, reject;;たい;しりぞ.く, ひ, ど, の;onyomi;;27
k_約;kanji;約;promise;;やく;None;onyomi;;14
k_移;kanji;移;shift;;い;うつ.*;onyomi;;28
k_欠;kanji;欠;lack;;けつ;か.ける;onyomi;;7
k_危;kanji;危;dangerous;;き;あぶ.ない, あや;onyomi;;16
k_波;kanji;波;wave;;は;なみ;onyomi;;11
k_出;kanji;出;exit;;しゅつ;で.る, だ.す;onyomi;;2
k_鉄;kanji;鉄;iron;;てつ;;onyomi;;10
k_代;kanji;代;substitute, replace, period, age;;だい;か, かわ.る, しろ;onyomi;;4
k_鼻;kanji;鼻;nose;;び;はな;kunyomi;;17
k_番;kanji;番;number in a series, turn, ordinal number;;ばん;;onyomi;;8
k_任;kanji;任;duty;;にん;まか.せる;onyomi;;21
k_庭;kanji;庭;garden;;てい;にわ;onyomi;;12
k_術;kanji;術;art;;じゅつ;None;onyomi;;14
k_売;kanji;売;sell;;ばい;う;kunyomi;;5
k_課;kanji;課;section;;か;;onyomi;;13
k_有;kanji;有;have;;ゆう, う;あ.る;onyomi;;6
k_然;kanji;然;nature;;ぜん, ねん;しか, さ;onyomi;;13
k_仕;kanji;仕;doing, do;;し;つか.える;onyomi;;4
k_機;kanji;機;machine;;き;はた;onyomi;;20
k_動;kanji;動;move;;どう;うご.*;onyomi;;12
k_商;kanji;商;merchandise;;しょう;あきな.い;onyomi;;12
k_根;kanji;根;root;;こん;ね;onyomi;;12
k_参;kanji;参;participate;;さん;まい.る;onyomi;;14
k_姉;kanji;姉;older sister, big sister, elder sister;;し;お.ねえ, あね, ねえ;onyomi;;6
k_悲;kanji;悲;sad;;ひ;かな;kunyomi;;12
k_笑;kanji;笑;laugh;;しょう;わら, え;kunyomi;;16
k_鏡;kanji;鏡;mirror;;きょう;かがみ;kunyomi;;13
k_秋;kanji;秋;autumn, fall;;None;あき;kunyomi;;15
k_岩;kanji;岩;boulder;;がん;いわ;kunyomi;;15
k_六;kanji;六;six;;ろく;む.つ;onyomi;;2
k_帰;kanji;帰;return, return home;;き;かえ;kunyomi;;15
k_塩;kanji;塩;salt;;えん;しお;kunyomi;;17
k_貝;kanji;貝;shellfish, shell, clam;;;かい;kunyomi;;4
k_問;kanji;問;problem;;もん;と, とん;onyomi;;13
k_昼;kanji;昼;noon;;None;ひる;kunyomi;;15
k_様;kanji;様;formal name title, formal name ender, manner;;よう;さま;kunyomi;;13
k_想;kanji;想;concept;;そう;;onyomi;;13
k_寄;kanji;寄;approach;;き;よ.る;onyomi;;29
k_無;kanji;無;nothing;;む, ぶ;な.い;onyomi;;17
k_果;kanji;果;fruit;;か;くだ, は.たして;onyomi;;17
k_葉;kanji;葉;leaf, leaves;;よう;は, ば;kunyomi;;10
k_僚;kanji;僚;colleague;;りょう;None;onyomi;;29
k_痛;kanji;痛;pain;;つう;いた.い;onyomi;;27
k_王;kanji;王;king;;おう;;onyomi;;2
k_結;kanji;結;bind, tie;;けつ;むす.ぶ, ゆ.う;onyomi;;17
k_天;kanji;天;heaven;;てん;あま;onyomi;;2
k_界;kanji;界;world;;かい;;onyomi;;9
k_申;kanji;申;say humbly, say, humbly say;;しん;もう;kunyomi;;4
k_雄;kanji;雄;male, brave;;ゆう;おす;onyomi;;29
k_勉;kanji;勉;exertion;;べん;;onyomi;;12
k_労;kanji;労;labor, labour;;ろう;いたわ.る;onyomi;;11
k_医;kanji;医;medicine;;い;;onyomi;;8
k_発;kanji;発;departure;;はつ;;onyomi;;9
k_漢;kanji;漢;chinese, china;;かん;;onyomi;;10
k_秒;kanji;秒;second;;びょう;;onyomi;;11
k_坂;kanji;坂;slope;;はん;さか;kunyomi;;15
k_批;kanji;批;criticism;;ひ;None;onyomi;;21
k_工;kanji;工;construction, industry;;こう, く;;onyomi;;1
k_泣;kanji;泣;cry;;きゅう;な;kunyomi;;15
k_真;kanji;真;reality;;しん;ま;onyomi;;16
k_詳;kanji;詳;detailed;;しょう;くわ.しい;onyomi;;30
k_急;kanji;急;hurry;;きゅう;いそ.ぐ;onyomi;;16
k_懐;kanji;懐;nostalgia;;かい;なつ;kunyomi;;30
k_軍;kanji;軍;army;;ぐん;None;onyomi;;15
k_典;kanji;典;rule;;てん;None;onyomi;;16
k_猫;kanji;猫;cat;;None;ねこ;kunyomi;;15
k_市;kanji;市;city;;し;いち;onyomi;;3
k_英;kanji;英;england, english;;えい;None;onyomi;;15
k_川;kanji;川;river;;せん;かわ;kunyomi;;1
k_連;kanji;連;take along;;れん;つ, つら;onyomi;;19
k_喜;kanji;喜;rejoice, delighted, pleased, happy;;き;よろこ;kunyomi;;16
k_辞;kanji;辞;quit;;じ;や.める;onyomi;;16
k_信;kanji;信;believe, trust;;しん;しん;onyomi;;15
k_変;kanji;変;change, strange;;へん;か.*;onyomi;;15
k_力;kanji;力;power, strength;;りょく, りき;ちから;onyomi;;1
k_仏;kanji;仏;buddha;;ぶつ;ほとけ;onyomi;;15
k_非;kanji;非;injustice, negative;;ひ;;onyomi;;17
k_弁;kanji;弁;dialect, speech;;べん;None;onyomi;;16
k_式;kanji;式;ritual, ceremony, equation;;しき;;onyomi;;15
k_是;kanji;是;absolutely;;ぜ;None;onyomi;;17
k_証;kanji;証;evidence, proof;;しょう;あかし;onyomi;;16
k_寒;kanji;寒;cold;;かん;さむ;kunyomi;;12
k_的;kanji;的;target, al, ~al, like, ~like;;てき;まと;onyomi;;14
k_活;kanji;活;lively;;かつ;い;onyomi;;6
k_門;kanji;門;gates, gate;;もん;None;onyomi;;16
k_汽;kanji;汽;steam;;き;None;onyomi;;18
k_後;kanji;後;behind, after, back, rear;;ご, こう;うし.ろ, あと, のち;onyomi;;6
k_養;kanji;養;foster;;よう;やしな.う;onyomi;;13
k_残;kanji;残;remainder;;ざん;のこ.*;onyomi;;14
k_妥;kanji;妥;gentle;;だ;None;onyomi;;14
k_国;kanji;国;country;;こく;くに;onyomi;;6
k_法;kanji;法;method, law;;ほう;None;onyomi;;15
k_束;kanji;束;bundle;;そく;たば;onyomi;;14
k_雰;kanji;雰;atmosphere;;ふん;None;onyomi;;14
k_毒;kanji;毒;poison;;どく;None;onyomi;;15
k_丁;kanji;丁;street, ward;;ちょう, てい;;onyomi;;2
k_黒;kanji;黒;black;;こく;くろ.い;onyomi;;7
k_浴;kanji;浴;bathe;;よく;あ;kunyomi;;16
k_革;kanji;革;leather;;かく;かわ;onyomi;;23
k_晩;kanji;晩;night, evening;;ばん;;onyomi;;15
k_喫;kanji;喫;consume;;きつ;の.む;onyomi;;18
k_険;kanji;険;risky, steep;;けん;けわ.しい;onyomi;;16
k_比;kanji;比;compare;;ひ;くら.べる;onyomi;;19
k_色;kanji;色;color, colour;;しき, しょく;いろ;kunyomi;;5
k_順;kanji;順;order, sequence;;じゅん;None;onyomi;;19
k_節;kanji;節;season;;せつ;ふし;onyomi;;19
k_文;kanji;文;writing, sentence;;ぶん, もん;;onyomi;;2
k_皆;kanji;皆;all, everyone, everything, everybody;;かい;みな, みんな;kunyomi;;13
k_閥;kanji;閥;clique, clan;;ばつ;None;onyomi;;19
k_像;kanji;像;statue, image;;ぞう;;onyomi;;13
k_敵;kanji;敵;enemy;;てき;かな.う, かたき;onyomi;;21
k_整;kanji;整;arrange, organize, organise;;せい;ととの.*;onyomi;;13
k_舌;kanji;舌;tongue;;ぜつ;した;kunyomi;;19
k_際;kanji;際;occasion;;さい;きわ;onyomi;;21
k_胸;kanji;胸;chest;;きょう;むね;kunyomi;;18
k_洗;kanji;洗;wash;;せん;あら.う;onyomi;;18
k_宙;kanji;宙;mid air;;ちゅう;None;onyomi;;19
k_折;kanji;折;fold, bend;;せつ;お.る;onyomi;;14
k_殺;kanji;殺;kill;;さつ;ころ.す;onyomi;;13
k_混;kanji;混;mix;;こん;ま.*;onyomi;;19
k_暴;kanji;暴;violence;;ぼう;あば.れる;onyomi;;19
k_団;kanji;団;group;;だん, とん;None;onyomi;;19
k_忙;kanji;忙;busy;;ぼう;いそが;kunyomi;;19
k_達;kanji;達;attain, plural;;たつ;たち;onyomi;;18
k_種;kanji;種;kind, type;;しゅ;たね, ぐさ;onyomi;;18
k_類;kanji;類;type, category, kind;;るい;たぐ.い;onyomi;;18
k_豪;kanji;豪;luxurious;;ごう;None;onyomi;;31
k_忘;kanji;忘;forget;;ぼう;わす.れる;onyomi;;18
k_号;kanji;号;number;;ごう;;onyomi;;4
k_得;kanji;得;acquire;;とく;え.る, う.る;onyomi;;19
k_探;kanji;探;look for, search for;;たん;さが.す, さぐ.る;onyomi;;31
k_頑;kanji;頑;stubborn;;がん;None;onyomi;;14
k_災;kanji;災;disaster;;さい;わざわ.い;onyomi;;20
k_自;kanji;自;self;;じ, し;;onyomi;;5
k_困;kanji;困;distressed, troubled;;こん;こま;kunyomi;;19
k_在;kanji;在;exist;;ざい;None;onyomi;;20
k_嫌;kanji;嫌;dislike;;けん;いや, きら.い;onyomi;;20
k_欧;kanji;欧;europe;;おう;None;onyomi;;29
k_象;kanji;象;elephant, phenomenon;;しょう, ぞう;None;onyomi;;24
k_枚;kanji;枚;flat objects counter, flat object, counter for flat objects;;まい;None;onyomi;;18
k_妻;kanji;妻;wife;;さい;つま;onyomi;;20
k_圧;kanji;圧;pressure;;あつ;None;onyomi;;20
k_間;kanji;間;interval, interval of time, time interval;;かん, けん;あいだ, ま;onyomi;;8
k_外;kanji;外;outside;;がい;そと, はず;onyomi;;3
k_獣;kanji;獣;beast, animal;;じゅう;けもの;onyomi;;26
k_倒;kanji;倒;overthrow, collapse;;とう;たお.す;onyomi;;20
k_冊;kanji;冊;books counter, books, counter for books, volumes counter, volumes, counter for volumes;;さつ;None;onyomi;;19
k_裕;kanji;裕;abundant, plentiful;;ゆう;None;onyomi;;20
k_務;kanji;務;task;;む;つと.める;onyomi;;21
k_総;kanji;総;whole;;そう;;onyomi;;21
k_岡;kanji;岡;hill;;None;おか;kunyomi;;21
k_穴;kanji;穴;hole, cave;;けつ;あな;kunyomi;;20
k_守;kanji;守;protect;;す, しゅ;まも.る, もり;onyomi;;16
k_議;kanji;議;deliberation, discussion;;ぎ;None;onyomi;;20
k_質;kanji;質;quality;;しつ, しち;None;onyomi;;24
k_害;kanji;害;damage, injury, harm;;がい;None;onyomi;;20
k_疑;kanji;疑;doubt;;ぎ;うたが.う;onyomi;;13
k_冗;kanji;冗;superfluous, unnecessary, uselessness;;じょう;None;onyomi;;16
k_引;kanji;引;pull;;いん;ひ;kunyomi;;3
k_警;kanji;警;warn, admonish;;けい;None;onyomi;;17
k_稚;kanji;稚;immature;;ち;None;onyomi;;28
k_禅;kanji;禅;zen, zen buddhism;;ぜん;None;onyomi;;18
k_焼;kanji;焼;bake, cook, burn;;しょう;や;kunyomi;;18
k_論;kanji;論;theory;;ろん;None;onyomi;;20
k_罪;kanji;罪;guilt;;ざい;つみ;onyomi;;20
k_難;kanji;難;difficult;;なん;むずか.しい;onyomi;;20
k_含;kanji;含;include;;がん;ふく.む;onyomi;;25
k_撃;kanji;撃;attack;;げき;う.つ;onyomi;;28
k_認;kanji;認;recognize, recognise;;にん;みと.める;onyomi;;21
k_置;kanji;置;put;;ち;お.く;onyomi;;22
k_等;kanji;等;equal;;とう;ひと.しい, など;onyomi;;18
k_局;kanji;局;bureau, department;;きょく;;onyomi;;8
k_修;kanji;修;discipline;;しゅう;おさ.まる;onyomi;;28
k_案;kanji;案;plan;;あん;None;onyomi;;22
k_円;kanji;円;yen, round, circle;;えん;まる.い;onyomi;;2
k_央;kanji;央;central, center, centre;;おう;;onyomi;;4
k_勢;kanji;勢;force;;せい;いきお.い;onyomi;;22
k_腰;kanji;腰;waist;;よう;こし;kunyomi;;24
k_愛;kanji;愛;love;;あい;まな;onyomi;;17
k_肩;kanji;肩;shoulder;;けん;かた;kunyomi;;24
k_庁;kanji;庁;agency, government office;;ちょう;None;onyomi;;24
k_型;kanji;型;model, type;;けい;かた;onyomi;;24
k_上;kanji;上;above, up, over;;じょう;うえ, あ, のぼ, うわ, かみ;onyomi;;1
k_益;kanji;益;benefit;;えき;None;onyomi;;28
k_濃;kanji;濃;thick;;のう;こ.い;onyomi;;27
k_管;kanji;管;pipe;;かん;くだ;onyomi;;24
k_差;kanji;差;distinction;;さ;さ;onyomi;;24
k_部;kanji;部;part, department, club;;ぶ;へ;onyomi;;9
k_境;kanji;境;boundary;;きょう;さかい;onyomi;;24
k_程;kanji;程;extent;;てい;ほど;onyomi;;28
k_武;kanji;武;military;;ぶ;たけ;onyomi;;24
k_競;kanji;競;compete;;きょう;きそ.*;onyomi;;11
k_述;kanji;述;mention;;じゅつ;の.べる;onyomi;;24
k_環;kanji;環;loop;;かん;None;onyomi;;24
k_憲;kanji;憲;constitution;;けん;None;onyomi;;28
k_京;kanji;京;capital;;きょう;みやこ;onyomi;;6
k_裁;kanji;裁;judge;;さい;さば.く, た.つ;onyomi;;23
k_粉;kanji;粉;powder;;ふん;こな, こ;onyomi;;31
k_展;kanji;展;expand;;てん;のぶ, のび;onyomi;;24
k_況;kanji;況;condition;;きょう;None;onyomi;;25
k_影;kanji;影;shadow;;えい;かげ;onyomi;;25
k_鬼;kanji;鬼;demon;;き;おに;onyomi;;23
k_渉;kanji;渉;ford;;しょう;わた.る;onyomi;;17
k_身;kanji;身;somebody, someone, body;;しん;み;onyomi;;8
k_割;kanji;割;divide;;かつ;わり, わ;kunyomi;;23
k_口;kanji;口;mouth;;こう, く;くち;onyomi;;1
k_限;kanji;限;limit;;げん;かぎ.る;onyomi;;25
k_景;kanji;景;scene;;けい;None;onyomi;;25
k_胃;kanji;胃;stomach;;い;None;onyomi;;27
k_秀;kanji;秀;excel;;しゅう;ひい.でる;onyomi;;23
k_宅;kanji;宅;house, home;;たく;None;onyomi;;23
k_呼;kanji;呼;call;;こ;よ;kunyomi;;23
k_追;kanji;追;follow, chase;;つい;お;kunyomi;;11
k_幹;kanji;幹;tree trunk;;かん;みき;onyomi;;23
k_現;kanji;現;present time, present;;げん;あらわ.*;onyomi;;23
k_沢;kanji;沢;swamp;;たく;さわ;onyomi;;23
k_針;kanji;針;needle;;しん;はり;kunyomi;;26
k_逮;kanji;逮;apprehend;;たい;None;onyomi;;25
k_抜;kanji;抜;extract;;ばつ, はつ, はい;ぬ;kunyomi;;25
k_訟;kanji;訟;lawsuit;;しょう;None;onyomi;;25
k_足;kanji;足;foot, leg, sufficient;;そく;あし, た.りる;onyomi;;4
k_乾;kanji;乾;dry;;かん;かわ, ほ;onyomi;;29
k_看;kanji;看;watch over;;かん;None;onyomi;;23
k_横;kanji;横;side;;おう;よこ;kunyomi;;10
k_鮮;kanji;鮮;fresh;;せん;あざ.やか;onyomi;;25
k_株;kanji;株;stocks, shares;;しゅ;かぶ;kunyomi;;24
